codigo_articulo,grupo,subgrupo,descripcion,unidad_medida
0101001,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 3/4"", CEDULA 160, S/C, ASTM A106 GR.B, EXT BISELADOS, ASME B36.10M",MT
0101002,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101003,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175.",MT
0101004,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101005,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101006,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101007,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 10"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101008,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 12"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101009,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA STD, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101010,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101011,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101012,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 4"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101013,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 120, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101014,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 6"", CEDULA 160, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101015,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101016,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 10"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101017,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 12"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101018,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, NACE MR0175, ASME B16.9",MT
0101019,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 16"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101020,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 100, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101021,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 120, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101023,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 8"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2 / NACE MR0175, ASME B36.10M",MT
0101024,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 3"", CEDULA 40, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2 / NACE MR0175, ASME B36.10M",MT
0101025,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 10"", CEDULA 40"", S/C, ASTM A106 GR.B, EXT BISELADO, ISO 15156-2 / NACE MR0175, ASME B36.10M",MT
0101026,01,01,"TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, S/C, TUBO DE ACERO AL CARBON, DIAMETRO 2"", CEDULA 80, S/C, ASTM A106 GR.B, EXT BISELADOS, ISO 15156-2, ASME B36.10M",MT
0101027,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1 1/2"", CEDULA 80 ROLADA, S/C, ACERO AL CARBON, GALVANIZADO EN CALIENTE, EXT ., ARCOS DE 1.60 MT DE LONGITUD CON RADIO DE 1.6 MT EXT.",MT
0101028,01,01,"TUBO DE ACERO AL CARBON, DIAMETRO 1-1/2"", CEDULA 80, S/C, ASTM A106 GR. B, EXT PLANOS, ISO 15156-2, ASME B36.10M",MT
