codigo_articulo,grupo,nombre_grupo,subgrupo,nombre_subgrupo,unidad_medida,descripcion
9001001,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,ANÁLISIS CLÍNICOS ANUALES
9001002,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,EXAMEN DE INGRESO
9001003,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,EXAMEN PERIÓDICO
9001004,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,VALORACIÓN MÉDICA ESPECIALISTA
9001005,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,LABORATORIALES
9001006,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,PLACAS DE RAYOS X
9001007,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,EXAMEN DE REINGRESO
9001008,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,SV,REHABILITACIÓN
9002001,90,SERVICIOS AL EMPLEADO,02,EXÁMENES DE EVALUACIÓN,SV,PLATAFORMA PSICOWEB
9002002,90,SERVICIOS AL EMPLEADO,02,EXÁMENES DE EVALUACIÓN,SV,PLATAFORMA OCC
9003001,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,CURSO DE TRABAJOS CON RIESGOS
9003002,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,CURSO VERIFICADOR DE GAS
9003003,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,CURSO RIG PASS
9003004,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,CURSOS TÉCNICOS ESPECIALIZADOS
9003005,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,CAPACITACIONES PROFESIONAL
9003006,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,SERVICIOS ACADÉMICOS
9003007,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,SV,"VISA, PASAPORTE, LIBRETA D MAR"
9004001,90,SERVICIOS AL EMPLEADO,04,ASISTENCIA MEDICA,SV,SERVICIO DE HOSPITALIZACIÓN
9004002,90,SERVICIOS AL EMPLEADO,04,ASISTENCIA MEDICA,SV,SERVICIO DE AMBULANCIA
9004003,90,SERVICIOS AL EMPLEADO,04,ASISTENCIA MEDICA,SV,CALIBRACIÓN DE EQUIPOS MÉDICOS
9005001,90,SERVICIOS AL EMPLEADO,05,SERVICIOS AL PERSONAL,SV,HIELO Y AGUA
9005002,90,SERVICIOS AL EMPLEADO,05,SERVICIOS AL PERSONAL,SV,AGUA EN PIPA
