tipo,grupo,nombre_grupo,subgrupo,nombre_subgrupo,subgrupos,articulos,rubro_PROPUESTO,subcuenta_PROPUESTA
# LLENAR las dos ultimas columnas. Solo 9 renglones vienen propuestos; el resto en blanco a proposito.,,,,,,,,
MATERIAL,01,TUBERIA,,,8,0,,
MATERIAL,02,ACCESORIO DE TUBERIA,,,18,0,,
MATERIAL,03,EMPAQUES,,,7,0,,
MATERIAL,04,ADHESIVOS Y SELLADORES DE JUNTAS,,,3,0,,
MATERIAL,05,ACEITES Y GRASAS,,,4,0,,
MATERIAL,06,MANGUERAS,,,4,0,,
MATERIAL,07,VALVULAS,,,8,0,MATERIALES,VALVULAS
MATERIAL,08,PARTES DE RESPUESTO PARA VALVULA,,,6,0,,
MATERIAL,10,AISLANTES Y REFRACTARIOS,,,8,0,,
MATERIAL,11,MATERIALES PARA OBRA CIVIL,,,11,0,,
MATERIAL,12,ARTICULOS DE FERRETERIA,,,9,0,,
MATERIAL,13,"RECUBRIMIENTOS, PINTURAS Y SOLVENTES",,,7,0,,
MATERIAL,14,ACERO ESTRUCTURAL,,,12,0,,
MATERIAL,15,HERRAMIENTAS,,,8,0,MATERIALES,HERRAMIENTAS MANUALES
MATERIAL,16,PARTES DE RESPUESTO PARA HERRAMIENTAS,,,3,0,MATERIALES,HERRAMIENTAS MANUALES
MATERIAL,17,EQUIPOS MENORES,,,3,0,,
MATERIAL,18,PARTES DE RESPUESTO DE EQUIPOS MENORES,,,2,0,,
MATERIAL,19,PREFABRICADOS,,,1,0,,
MATERIAL,20,MATERIAL ELÉCTICO,,,14,0,MATERIALES,MATERIAL ELECTRICO
MATERIAL,21,PARTES DE REPUESTO DE MATERIAL ELÉCTICO,,,10,0,MATERIALES,MATERIAL ELECTRICO
MATERIAL,30,TELECOMUNICACIONES  Y EQUIPO DE COMPUTO,,,10,0,,
MATERIAL,31,PARTES DE REPUESTO DE TELECOMUNICACIONES  Y EQUIPO DE COMPUTO,,,10,0,,
MATERIAL,32,INSTRUMENTOS DE MEDICION Y CONTROL,,,17,0,MATERIALES,INSTRUM DE MEDICION Y CONTROL
MATERIAL,33,PARTES DE REPUESTO DE INSTRUMENTOS DE MEDICION Y CONTROL,,,16,0,MATERIALES,INSTRUM DE MEDICION Y CONTROL
MATERIAL,40,SEGURIDAD,,,15,0,,
MATERIAL,41,PARTES DE REPUESTOS DE SEGURIDAD,,,14,0,,
MATERIAL,50,ENSERES Y CONSUMIBLES PARA INMUBLES,,,7,0,,
MATERIAL,60,VEHICULOS,,,5,0,,
MATERIAL,61,REFACCIONES MANTENIMIENTO VEHICULAR,,,9,0,,
MATERIAL,62,MAQUINARIA PESADA,,,10,0,,
MATERIAL,63,REFACCIONES MANTENIMIENTO MAQUINARIA PESADA,,,16,0,,
MATERIAL,70,EQUIPOS DE PROCESO Y SERVICIOS AUXILIARES,,,9,0,,
MATERIAL,71,PARTES DE REPUESTO EQUIPOS DE PROCESOS Y SERVICIOS AUXILIARES,,,9,0,,
MATERIAL,80,SUSTANCIAS QUIMICAS,,,19,0,MATERIALES,SUSTANCIAS QUIMICAS
SERVICIO,90,SERVICIOS AL EMPLEADO,01,EXÁMENES MÉDICOS,1,8,,
SERVICIO,90,SERVICIOS AL EMPLEADO,02,EXÁMENES DE EVALUACIÓN,1,2,,
SERVICIO,90,SERVICIOS AL EMPLEADO,03,CURSOS Y CAPACITACIONES,1,7,,
SERVICIO,90,SERVICIOS AL EMPLEADO,04,ASISTENCIA MEDICA,1,3,,
SERVICIO,90,SERVICIOS AL EMPLEADO,05,SERVICIOS AL PERSONAL,1,11,,
SERVICIO,91,INMUEBLES Y SERVICIOS,01,OFICINAS Y SERVICIOS,1,12,,
SERVICIO,91,INMUEBLES Y SERVICIOS,02,EQUIPOS TECNOLÓGICOS,1,7,,
SERVICIO,91,INMUEBLES Y SERVICIOS,03,SOFTWARE Y LICENCIAS,1,7,,
SERVICIO,91,INMUEBLES Y SERVICIOS,04,MANTENIMIENTO DE INMUEBLES,1,5,,
SERVICIO,92,SERVICIOS AL PARQUE VEHICULAR,01,RENTA DE EQUIPO DE TRANSPORTE,1,4,,
SERVICIO,92,SERVICIOS AL PARQUE VEHICULAR,02,MANTENIMIENTO VEHICULAR,1,24,,
SERVICIO,92,SERVICIOS AL PARQUE VEHICULAR,03,TRAMITES Y PERMISOS VEHICULARES,1,5,,
SERVICIO,92,SERVICIOS AL PARQUE VEHICULAR,04,COMBUSTIBLE,1,3,,
SERVICIO,93,RENTA DE MAQUINARIA Y EQUIPOS,01,RENTA DE MAQUINARIA,1,13,SERVICIOS,RENTA DE MAQUINARIA Y EQUIPO
SERVICIO,93,RENTA DE MAQUINARIA Y EQUIPOS,02,RENTA DE EQUIPOS,1,16,SERVICIOS,RENTA DE MAQUINARIA Y EQUIPO
SERVICIO,93,RENTA DE MAQUINARIA Y EQUIPOS,03,RENTAS GENERALES,1,1,SERVICIOS,RENTA DE MAQUINARIA Y EQUIPO
SERVICIO,94,SERVICIOS DE IMAGEN EXTERNA,01,PUBLICIDAD,1,10,,
SERVICIO,94,SERVICIOS DE IMAGEN EXTERNA,02,DISEÑO E IMPRESIÓN,1,11,,
SERVICIO,94,SERVICIOS DE IMAGEN EXTERNA,03,ASISTENCIA EN EVENTOS,1,4,,
SERVICIO,94,SERVICIOS DE IMAGEN EXTERNA,04,FABRICACIÓN DE ARTÍCULOS NO STOCKEABLES,1,4,,
