grupo,nombre_grupo_oficial,subgrupo_que_falta,articulos_afectados,ejemplo_descripcion,nombre_subgrupo_ANEL_LLENA
50,ENSERES Y CONSUMIBLES PARA INMUBLES,08,210,"CAJA FUERTE, YALE, 3XL",
11,MATERIALES PARA OBRA CIVIL,15,53,"ARMADO DE SOPORTE RMA-1-1, ACERO, LARGO 3 M, ANCHO 2.30 M, CALIBRE 16,",
99,SERVICIOS TÉCNICOS,02,45,"SUMINISTRO, TRANSPORTE Y PRESENTACIÓN EN SITIO, INSTALACIÓN, INTERCONE",
02,ACCESORIO DE TUBERIA,19,34,"CODO, 90°, 8"", CLASE 300#, EXTREMO RANURADO, ASTM A536, UL/FM",
11,MATERIALES PARA OBRA CIVIL,13,33,"MALLA, CICLON FOLTADA, MATERIAL PVC, LARGO 20 MTS, ALTO 2.5 MTS, CALIB",
14,ACERO ESTRUCTURAL,13,29,"BASE FIJA REGULABLE, ACERO, LARGO 60 CM, DOKA AT PACK",
99,SERVICIOS TÉCNICOS,03,27,"VACIADO DE CONCRETO HIDRÁULICO HECHO EN OBRA AGREGADO MÁX. 19 MM, CEME",
07,VALVULAS,10,20,"VALVULA DE BOLA, DIAMETRO 3/4"", CLASE 6000#, EXTREMOS NPT X NPT HEMBRA",
02,ACCESORIO DE TUBERIA,20,17,"TUERCA UNION, ACERO AL CARBON, DIAMETRO 1"", CLASE 3000#, ASTM A105, EX",
18,PARTES DE RESPUESTO DE EQUIPOS MENORES,08,16,"ADAPTADOR PARA GRIFO CON ELEMENTO REDUCTOR, LATON, DIAMETRO G3/4 CON P",
62,MAQUINARIA PESADA,11,13,"CONTENEDOR, MARITIMO 10 FT OPEN TOP, ACERO, ANCHO 2.43 M, LARGO 2.99 M",
99,SERVICIOS TÉCNICOS,04,13,"INSTALACION, PRUEBAS Y PUESTA EN MARCHA DE SISTEMA DE PROTECCION CATOD",
99,SERVICIOS TÉCNICOS,09,12,INTERVENCIÓN DE POZOS PARA MANTENIMIENTO Y REHABILITACIÓN (INTERVENCIÓ,
11,MATERIALES PARA OBRA CIVIL,12,10,"ALAMBRE, ALAMBRE, ACERO RECOCIDO, CALIBRE 14",
99,SERVICIOS TÉCNICOS,08,9,ANALISIS DE ESFUERZOS MECANICOS,
18,PARTES DE RESPUESTO DE EQUIPOS MENORES,04,8,"FILTRO DE COMBUSTIBLE DIESEL, MEDIO FILTRANTE DE CELULOSA / CARCASA DE",
17,EQUIPOS MENORES,08,7,"HIDROLAVADORA, ELECTRICA, 1400 W, PRESION MAX 1 450 PSI, PRESION OPERA",
99,SERVICIOS TÉCNICOS,06,7,"CONSTRUCCION DE RED CONTRA INCENDIOS, 5TO TREN 1ERA FASE  BS PERDIZ (F",
99,SERVICIOS TÉCNICOS,07,7,CALIBRACION DE INSTRUMENTOS,
17,EQUIPOS MENORES,11,5,"VENTILADOR, TAMBOR, 42"", 44X46X20"", 16,900 - 20,500 CFM, 3/4, 72 LBS, ",
18,PARTES DE RESPUESTO DE EQUIPOS MENORES,07,5,"IMPULSOR  PARA BOMBA JET, 0.75 HP, CODIGO BIP3HJX2075, MCA EVANS",
20,MATERIAL ELÉCTICO,15,5,"ÁNODO, ALTO POTENCIAL, MAGNESIO, PESO 17  LIBRAS, EMPACADO CON MEZCLA ",
15,HERRAMIENTAS,09,4,"CARRO DE CARGA PLEGABLE TIPO PLATAFORMA, LONGITUD 73 CM, ANCHO 47 CM, ",
40,SEGURIDAD,16,4,"ARRESTADOR DE FLAMA, 12"", 150#, RF, CUERPO AC. CARBON WCB, INTERIORES ",
62,MAQUINARIA PESADA,12,4,"ELECTRIC FORKLIFT, 3,300 LB, LONGITUD PLUMA 42"", MOTOR ELECTRICO 80 V,",
01,TUBERIA,09,3,"TUBO, 4"", CED 10, ASTM A795, EXTREMO RANURADO, FM",
05,ACEITES Y GRASAS,05,3,ADITIVO BARDHAL 2,
13,"RECUBRIMIENTOS, PINTURAS Y SOLVENTES",08,3,"ESCORIA DE COBRE, .595 A 1.190, 7.5 A 8, POR SACO DE TONELADA",
19,PREFABRICADOS,02,3,"ISOCONTENEDOR, HABITACIONAL / OFICINA, ACONDICIONADO, ACERO ESTRUCTURA",
19,PREFABRICADOS,03,3,"ESTRUCTURA PARA COBERTIZO, ACERO, LARGO 8 M, ANCHO 4 M, A BASE DE TUBE",
62,MAQUINARIA PESADA,13,3,"ROLLINGSTAR RS816 T/A ENCLOSED BATTERY BACKUP CARGO TRAILER, ALMENTACI",
80,SUSTANCIAS QUIMICAS,21,3,"TIPO BARRA ESPUMANTE GRADO PUREZA 99.9% MINIMO, GAS ACETILENO / OXIGEN",
07,VALVULAS,09,2,"MANIFOLD, No DE VIAS 5, ACERO INOXIDABLE, PRESION MAX 6250 PSI, TEMPER",
11,MATERIALES PARA OBRA CIVIL,16,2,"ANCLAJE QUIMICO,, POLIESTER, MOD CF 890, CART 300 ML",
17,EQUIPOS MENORES,10,2,"MAQUINA PARA SOLDAR / INVERSOR, ALIMENTACION ELECTRICA 120/230 V, VOLT",
17,EQUIPOS MENORES,12,2,"EQUIPO HIDRONEUMÁTICO HYDRO-MAC, ACERO, 90L, PRES MAX 150 PSI, TEMP MA",
80,SUSTANCIAS QUIMICAS,20,2,"DESMOLDANTE, BASE EN ACEITES MINERALES, LÍQUIDO, AMARILLO AMBAR, RENDI",
93,RENTA DE MAQUINARIA Y EQUIPOS,04,2,RENTA DE BROCA PARA PERFORACION,
99,SERVICIOS TÉCNICOS,05,2,"SUMINISTRO, MANEJO, INSTALACIÓN Y PRUEBA DE TANQUE DE ALMACENAMIENTO C",
10,AISLANTES Y REFRACTARIOS,09,1,"PLACA TEFLÓN PTFE, ESPESOR 3/8"", LARGO 48"", ANCHO 48"", COLOR BLANCO",
11,MATERIALES PARA OBRA CIVIL,14,1,"ASFALTO, EN FRIO, TMN 3/8"", ESTABILIDAD 350 KG MINIMO, FLUJO 2 - 4 MM,",
11,MATERIALES PARA OBRA CIVIL,17,1,"VIDRIO, LARGO 48.2 CM, ANCHO 5.5 CM, GROSOR 6 MM, CANTO PULIDO",
17,EQUIPOS MENORES,04,1,"TORRE DE LUZ, PORTATIL CON MASTIL HIDRAULICO, GENERADOR INTEGRADO ˜ 6 ",
17,EQUIPOS MENORES,13,1,"SANBLASTER, ACERO, LARGO 520 MM, ANCHO 380 MM, ALTURA 950 MM, 10 GALON",
17,EQUIPOS MENORES,14,1,"BAILARINA COMPACTADORA, 5.5 HP, GASOLINA, TANQUE COMBISTIBLE 2.5 LTS, ",
17,EQUIPOS MENORES,15,1,"CALEFACTOR PORTATIL TIPO SALAMANDRA CON TERMOSTATO AJUSTABLE, 30,000 W",
50,ENSERES Y CONSUMIBLES PARA INMUBLES,09,1,"ASCENSOR, ELECTROMECANICO, 630 KG, ACERO INOXIDABLE, 1.0 M/S, LARGO 2 ",
61,REFACCIONES MANTENIMIENTO VEHICULAR,10,1,"EQUIPO GPS, PORTA RELEVADOR Y RELEVADOR, MODELO GV300W, MARCA QUECLINK",
62,MAQUINARIA PESADA,14,1,"EQUIPO COMBINADO DE DESAZOLVE, MOTOR 4 - 6 CILINDROS, TRANSMISION MANU",
90,SERVICIOS AL EMPLEADO,06,1,REGALOS FIN DE AÑO,
95,SERVICIOS DE CUMPLIMIENTOS,06,1,ADQUISICION DE TARJETA DE MEMBRESIA,
