clave,descripcion,compania,tipo,clave_padre
F218184,GEOLIS - DEA MSP,00018,F2,
F218222,GEOLIS - PERENCO BHJ,00018,F2,
F218294,GEOLIS - OPER PEMEX BEC MARINA,00018,F2,
F218357,GEOLIS-PEMEX-BECH-LITORAL,00018,F2,
F218358,OPER Y MANTTO - BEH JUJO,00018,F2,
F218370,GEOLIS - PEMEX APMM,00018,F2,
F218373,GEOLIS - PEMEX TRANSFORMADORES,00018,F2,
F218376,GEOLIS - PEMEX BECH VERACRUZ,00018,F2,
F218379,GEOLIS - PEMEX VARIADORES,00018,F2,
F218381,GEOLIS PEMEX TURBOGENERADORES,00018,F2,
F218382,GEOLIS-ADMINISTRACION CUERVITO,00018,F2,
F218383,GEOLIS - ENERGIA,00018,F2,
F218385,GEOLIS - INFRAESTRUCTURA,00018,F2,
F218388,GEOLIS - PEMEX BCP M-M,00018,F2,
C18ADMIN,GEOLIS - ADMINISTRACION,00018,DP,
F218382A,GEOLIS-SERVICIOS CUERVITO,00018,F2,F218382
F218158VHSA,GEOLIS - GERENCIA OPERACIONES,00018,F2,
F218385P0001,GEOLIS PY INFRA TUTI,00018,F2,F218385
F218385P0002,GEOLIS PY INFRA TAD PROGRESO,00018,F2,F218385
F218385P0003,GEOLIS PY INFRA TAD VERACRUZ,00018,F2,F218385
